video_id,title,length,URL
zGSv0VaOtR0,Difference Between Inner Left Right Outer Joins,10.51,https://www.youtube.com/watch?v=zGSv0VaOtR0
sRwn1A8T6T4,"Left Join, Right Join, and Inner Join",8.23,https://www.youtube.com/watch?v=sRwn1A8T6T4
2LWS9-AGfgk,OLU OF WARRI CORONATION CANNOT HOLD EXCEPT MEDIATORS DO THE RIGHT THING,29.24,https://www.youtube.com/watch?v=2LWS9-AGfgk
po3erQZfM2k,How To Make Money On YouTube Without Making Videos 2021,16.16,https://www.youtube.com/watch?v=po3erQZfM2k
77cB6oztFo4,THE SWITCH BRODA SHAGGI  MR MACARONI,11.23,https://www.youtube.com/watch?v=77cB6oztFo4
